aaaa,аааа：ああああ
kushnirstvo,кушнірство：毛皮職人技 \ 毛皮職人業
kushtanovytskyy,куштановицький：クシュタノヴィツキー
kushchennya,кущення：分げつ
kushchovyk,"кущовик：茂み,低木"
kushchopodibnyy,кущоподібний：低木状の
kushchivka,кущівка：茂み
kushchivskyy,кущівський：クシチフスキーの
kushchinnya,кущіння：分げつ
kuyun,куюн：クユン
kuyuna,куюна：クユナ
kuya,куя：クヤ \ 鍛造する
kuyavskyy,куявський：クヤヴィの
kuyalnytskyy,куяльницький：クヤリニツキー（地名）
kuyate,куяте：クヤテ
kuyin,куїн：クイン(人名)
kuyinz,куїнз：クイーンズ
kuyinn,куїнн：クイン（人名）
kuge,куґе：クゲ
kf,кф：KF（略称）
kfar,кфар：クファル（ヘブライ語：村）
kfk,кфк：KFK
kkh,кх：KH
kkha,кха：カッ（咳払いの音）
kkhal,кхал：カール
kkham,кхам：カム
kkhan,кхан：カーン
kkhao,кхао：カオ
kkharoshtkhyy,кхароштхий：カローシュティー文字の
kkhasi,кхасі：カシ族
kkhe,кхе：咳
kkhz,кхз：KhZ
kkhyy,кхий：咳の
kkhy,"кхй：（誤字,意味不明）"
kkhm,кхм：咳払い
kkhmerskyy,кхмерський：クメールの
kkhumbu,кхумбу：クーンブ（地名）
kts,кц：KC
ktsynya,кциня：クツィニャ
kch,кч：kHz（キロヘルツ）
ksh,кш：キロシリング
kshalt,кшалт：クシャルト
kshatriy,кшатрій：クシャトリヤ
kshatriyskyy,кшатрійський：クシャトリヤの
kshatriya,кшатрія：クシャトリヤ \ クシャトリヤ(武士階級)
kshvendt,кшвендт：クシュヴェント
kshe,кше：クシェ
kshemenevo,кшеменево：クシェメネヴォ
kshemuskyy,кшемуський：クシェムシュ
kshentsyn,кшенцин：クシェンチン（地名）
ksheshytse,кшешице：クシェシツェ
ksheshovitse,кшешовіце：クシェショヴィツェ
ksheshuv,кшешув：クシェシュフ
kshyvin,кшивінь：クシヴィン
kshyzhanuv,кшижанув：クシジャヌフ
kshymuv,кшимув：クシムフ
kshm,кшм：KShM
kshtal,кштал：形(ポーランド語)
kshtaltuvannya,кшталтування：形成
kshchonuv,кшчонув：クシチョヌフ
kshcho,кщо：もし（誤綴）
k,кь：K
ko,кьо：キョ
kozem,кьозем：キョゼム
koko,кьоко：キョコ
konhi,кьонгі：キョンギ
kondzhu,кьонджу：慶州
konsan,кьонсан：キョンサン
kosem,кьосем：キョセム
kyu,кью：キュー
kyuri,кьюрі：キュリー(人名)
kyevo,кьєво：キエーヴォ
kyu,кю：キュ
kyuvez,кювез：保育器
kyune,кюне：キューネ
kyunsberh,кюнсберг：キュンズベルク(姓)
kyunstkhal,кюнстхал：クンストハル（美術館名）
kyurynskyy,кюринський：キュリンスキーの
kyuryos,кюриос：キュリオス
kyustendyl,кюстендил：キュステンディル
kyushyu,кюшю：九州
kya,кя：KYa
kyarpyat,кярпят：キャルピャト
kyastutis,кястутіс：キャストゥティス
kyakhtynskyy,кяхтинський：キャフタの
kyech,кєч：ケチ
kia,кіа：キア
kianit,кіаніт：藍晶石
kib,кіб：KIB
kiber,кібер：サイバー
kiberahresiya,кіберагресія：サイバー攻撃
kiberaktyvnist,кіберактивність：サイバー活動
kiberaktyvisty,кіберактивісти：サイバー活動家
kiberalyans,кіберальянс：サイバー同盟
kiberataka,кібератака：サイバー攻撃
kiberbezpeka,кібербезпека：サイバーセキュリティ
kiberbezpekovyy,кібербезпековий：サイバーセキュリティの
kiberbulinh,кібербулінг：サイバーいじめ \ ネットいじめ
kiberbulinha,кібербулінга：ネットいじめ
kiberbulinhty,кібербулінгти：ネットいじめをする
kibervtruchannya,кібервтручання：サイバー干渉
kiberviyn,кібервійн：サイバー戦争
kiberviyna,кібервійна：サイバー戦争
kiberviynyy,кібервійний：サイバー戦争の
kiberviysk,кібервійськ：サイバー軍
kiberviyskyy,кібервійський：サイバー戦争の
kiberviysko,кібервійсько：サイバー軍
kiberhihiyena,кібергігієна：サイバー衛生
kiberdiyalnist,кібердіяльність：サイバー活動
kiberzahroz,кіберзагроз：サイバー脅威 \ サイバー脅威（複数・生格）
kiberzahroza,кіберзагроза：サイバー脅威
kiberzahrozama,кіберзагрозама：サイバー脅威
kiberzahrozaty,кіберзагрозати：サイバー脅威を与える
kiberzahrozy,кіберзагрози：サイバー脅威
kiberzakhyst,кіберзахист：サイバー防御
kiberzakhysta,кіберзахиста：サイバー防衛
kiberzakhystyy,кіберзахистий：サイバー防衛の
kiberzakhysto,кіберзахисто：サイバー防御（略語）
kiberzbryy,кіберзбрий：サイバー武器
kiberzbroya,кіберзброя：サイバー兵器
kiberzbriy,кіберзбрій：サイバー兵器
kiberzlochyn,кіберзлочин：サイバー犯罪
kiberzlochynets,кіберзлочинець：サイバー犯罪者
kiberzlochynnyy,кіберзлочинний：サイバー犯罪の
kiberzlochynnist,кіберзлочинність：サイバー犯罪
kibery,кібери：キベリ（地名・民族名）
kiberkampaniya,кіберкампанія：サイバーキャンペーン
kiberkomandy,кіберкоманди：サイバー部隊
kiberkomanduvannya,кіберкомандування：サイバー司令部
kiberkomanduvanniy,кіберкомандуванній：サイバー司令部の
kiberlyudey,кіберлюдей：サイバー人間
kiberlyudy,кіберлюди：サイバー人間
kiberlyudyna,кіберлюдина：サイボーグ
kibermerezha,кібермережа：サイバーネットワーク
kibermozhlyvist,кіберможливість：サイバー能力
kibernavchannya,кібернавчання：サイバー学習
kibernapad,кібернапад：サイバー攻撃
kibernapada,кібернапада：サイバー攻撃
kibernapady,кібернапади：サイバー攻撃
kibernetychno,кібернетично：サイバネティック的に
kibero,кіберо：サイバー（略）
kiberoborona,кібероборона：サイバー防衛
kiberozbroyennya,кіберозброєння：サイバー兵器
kiberoperator,кібероператор：サイバーオペレーター
kiberoperatsiya,кібероперація：サイバー作戦
kiberoperatsiyi,кібероперації：サイバー作戦
kiberpank,кіберпанк：サイバーパンク
kiberpankovyy,кіберпанковий：サイバーパンクの
kiberpankivskyy,кіберпанківський：サイバーパンクの
kiberpolitseyskyy,кіберполіцейський：サイバー警察官
kiberpolitseyski,кіберполіцейські：サイバー警察
kiberpolitsiy,кіберполіцій：サイバー警察
kiberpolitsiya,кіберполіція：サイバー警察
kiberponedilka,кіберпонеділка：サイバーマンデー
kiberponedilok,кіберпонеділок：サイバーマンデー
kiberpotentsial,кіберпотенціал：サイバー能力
kiberprostir,кіберпростір：サイバー空間
kiberpidrozdil,кіберпідрозділ：サイバー部隊
kiberpidrozdili,кіберпідрозділі：サイバー部隊（前置格）
kiberrozvidka,кіберрозвідка：サイバー諜報
kiberrozvidky,кіберрозвідки：サイバー諜報
kibersanktsiyi,кіберсанкції：サイバー制裁
kibersystema,кіберсистема：サイバーシステム
kiberspetsialisty,кіберспеціалісти：サイバー専門家
kibersport,кіберспорт：eスポーツ
kibersporta,кіберспорта：eスポーツ
kibersportyvnyy,кіберспортивний：eスポーツの
kibersportyy,кіберспортий：サイバースポーツの
kibersportsmen,кіберспортсмен：eスポーツ選手
kibersportsmeny,кіберспортсмени：eスポーツ選手
kibersportsmenya,кіберспортсменя：eスポーツ選手
kiberstrakhuvannya,кіберстрахування：サイバー保険
kibersfer,кіберсфер：サイバー空間
kibersfera,кіберсфера：サイバー空間
kiberteroryzy,кібертероризй：サイバーテロ
kiberteroryzm,кібертероризм：サイバーテロリズム
kiberterorysty,кібертерористи：サイバーテロリスト
kibertekhnolohiya,кібертехнологія：サイバーテクノロジー
kibertonets,кібертонець：サイバートロン人
kibertontsi,кібертонці：サイバトロン人
kiberuhrupovannya,кіберугруповання：サイバー集団
kiberfakhivets,кіберфахівець：サイバー専門家
kiberfakhivka,кіберфахівка：サイバー専門家（女性）
kiberfakhivtsya,кіберфахівця：サイバー専門家
kiberfakhivtsi,кіберфахівці：サイバー専門家
kiberfutbol,кіберфутбол：サイバーフットボール
kiberfizychnyy,кіберфізичний：サイバーフィジカルの
kibertsentr,кіберцентр：サイバーセンター
kibershakhray,кібершахрай：サイバー詐欺師
kibershakhraystva,кібершахрайства：サイバー詐欺
kibershakhraystvo,кібершахрайство：サイバー詐欺
kibershakhraya,кібершахрая：サイバー詐欺師
kibershpyhun,кібершпигун：サイバースパイ
kibershpyhunstv,кібершпигунств：サイバースパイ活動
kibershpyhunstva,кібершпигунства：サイバースパイ活動
kibershpyhunstvo,кібершпигунство：サイバースパイ活動
kibershpyhunskyy,кібершпигунський：サイバースパイの
kibershpyhuniv,кібершпигунів：サイバースパイ
kibershpionazh,кібершпіонаж：サイバースパイ活動
kibershpionazha,кібершпіонажа：サイバースパイ活動
kibershpionazaty,кібершпіоназати：サイバースパイ活動をする
kiberintsydent,кіберінцидент：サイバー事件
kiberintsydenty,кіберінциденти：サイバー事件
kiberintsydentity,кіберінцидентіти：サイバーインシデント(誤字)
kiblytskyy,кіблицький：キブリツキー
kibo,кібо：キボ
kiborhizatsiya,кіборгізація：サイボーグ化
kiborg,кіборґ：サイボーグ
kibro,кібро：キブロ
kibutsnyy,кібуцний：キブツの
kibi,кібі：キビ
kiv,ків：キウ
kiva,ківа：キヴァ
kivalova,ківалова：キヴァロヴァ
kivalovskyy,ківаловський：キヴァロフスキー
kivalovshchyna,ківаловщина：キヴァロフ主義
kivoyu,ківою：キヴォイ
kivskyy,ківський：キエフの(誤字)
kivu,ківу：キヴ
kivshevyy,ківшевий：バケットの
kihtyka,кігтика：小さな爪 \ 爪
kihtyky,кігтики：爪(複数小称)
kid,кід：キッド
kidal,кідаль：詐欺師
kidnaper,кіднапер：誘拐犯
kidoho,кідого：誰の
kievskiy,кіевскій：キエフの
kizhz,кіжз：KIZhZ(略語)
kizomba,кізомба：キゾンバ
kiy,"кій：キュー,ビリヤードの棒"
kik,кік：キック
kikbokserskyy,кікбоксерський：キックボクシングの
kikboksinh,кікбоксінг：キックボクシング
kikvete,кіквете：キクウェテ(人名)
kikers,кікерс：キッカーズ
kikladskyy,кікладський：キクラデスの
kiklop,кіклоп：キクロプス
kiklichnyy,кіклічний：キクリディーズの
kiko,кіко：キコ
kikonho,кіконго：キコンゴ語
kikstarter,кікстартер：キックスターター
kikuyyu,кікуйю：キクユ族
kikul,кікул：キクル
kiki,кікі：キキ
kikimor,кікімор：キキモラ(妖精)
kikimora,кікімора：キキモラ
kila,кіла：キラ(病気)
kilauea,кілауеа：キラウエア火山
kilbi,кілбі：キルビ
kilder,кілдер：キルダー
kilevata,кілевата：竜骨の
kilevatyy,кілеватий：竜骨状の
kilevatoy,кілеватой：竜骨状の(誤字)
kilehrudyy,кілегрудий：竜骨胸の
kilektornyy,кілекторний：コレクターの（タイポ）
kilepodibnyy,кілеподібний：竜骨状の
kilerstvo,кілерство：殺し屋稼業
kilerskyy,кілерський：殺し屋の
kilersha,кілерша：女性殺し屋
kilechka,кілечка：アンチョビ
kilkenni,кілкенні：キルケニー
killer,кіллер：キラー \ 殺し屋
killery,"кіллери：殺し屋 \ 殺し屋,キラー(複数)"
killero,кіллеро：キレロ
killinha,кіллінга：キリング
kilmarnok,кілмарнок：キルマーノック
kilobit,кілобіт：キロビット
kilovatnyy,кіловатний：キロワットの
kilovolt,кіловольт：キロボルト
kiloherts,кілогерц：キロヘルツ
kilodzhoul,кілоджоуль：キロジュール
kilolitr,кілолітр：キロリットル
kilonova,кілонова：キロノヴァ
kiloparseka,кілопарсека：キロパーセク
kiloparseky,кілопарсеки：キロパーセク
kiloroky,кілороки：数年間
kilpatrik,кілпатрік：キルパトリック(人名)
kilt,кілт：キルト
kildyush,кільдюш：キルデュシュ
kilkadesyat,кількадесять：数十
kilkakratnyy,кількакратний：数回の
kilkakratno,кількакратно：数回
kilkakilometrovyy,кількакілометровий：数キロメートルの
kilkamilyonnyy,кількамільйонний：数百万の
kilkanaytsyat,кільканайцять：数十
kilkarazovo,кількаразово：数回
kilkarivnevyy,кількарівневий：多段階の
kilkasekundnyy,кількасекундний：数秒の
kilkasotlitniy,кількасотлітній：数百年の
kilkasotmetrovyy,кількасотметровий：数百メートルの
kilkasotrichnyy,кількасотрічний：数世紀の
kilkasottysyachnyy,кількасоттисячний：数十万の
kilkasta,кількаста：数百の
kilkatysyachnyy,кількатисячний：数千の
kilkatysyacholitniy,кількатисячолітній：数千年の
kilkatomnyy,кількатомний：数巻の
kilkatonnyy,кількатонний：数トンの
kilkyy,кілький：いくつかの
kilkyty,кількити：数える
kilko,кілько：いくつ（方言）
kilkoro,кількоро：何人か \ 数人
kilkost,кількость：数量
kilkst,кільксть：数量（綴り誤り：кількість）
kilkistosib,кількістьосіб：人数
kilkisttsylindry,кількістьциліндри：シリンダー数（誤記）
kilkisya,кількіся：数える
kilmezyu,кільмезю：キルメジュ
kilmes,кільмес：キルメス
kilometr,кільометр：キロメートル
kilometry,кільометри：キロメートル
kiltychchya,кільтиччя：キルトの伝統
kilchen,кільчень：キルチェニ
kilcheni,кільчені：鎖帷子の
kilyuvannya,кілювання：竜骨敷設
kilian,кіліан：キリアン
kilik,кілік：キリク
kiliks,кілікс：キュリクス（古代ギリシャの杯） \ キリクス
kilikiyskyy,кілікійський：キリキアの
kilinkarov,кілінкаров：キリンカロフ
kilis,кіліс：キリス
kima,кіма：キマ
kimberlit,кімберліт：キンバーライト
kimberlitovyy,кімберлітовий：キンバーライトの
kimbundu,кімбунду：キンブンドゥ語
kimv,кімв：KIMV
kimvra,кімвра：キンブリ族
kimvrama,кімврама：キンブラマ
kimvry,кімври：キンブリ人 \ キンブリ族
kimy,кіми：キミ(名)
kimyy,кімий：誰の（誤記）
kimmeriyskyy,кіммерійський：キンメリアの
kimmeriyets,кіммерієць：キンメリア人
kimmo,кіммо：キンモ（人名）
kimmi,кіммі：キミ
kimmikh,кімміх：キミッヒ
kimn,кімн：部屋の（略）
kimnatyna,кімнатина：大きな部屋
kimnatynka,кімнатинка：小部屋
kimnatochka,кімнаточка：小部屋（指小形）
kimnatchyna,кімнатчина：部屋 \ 部屋（軽蔑的）
kimom,кімом：CIMOM
kimpembe,кімпембе：キンペンベ
kimu,кіму：キム（人名・与格）
kimch,кімч：キムチ
kimcha,кімча：キムチ
kimchi,кімчі：キムチ
kimi,кімі：キミ
kimiko,кіміко：キミコ
kina,кіна：映画
kinabalu,кінабалу：キナバル
kinaza,кіназа：キナーゼ
kinan,кінан：キナン
kinarmiya,кінармія：騎兵軍
kinakhiv,кінахів：キナヒフ
kinburn,кінбурн：キンブルン
kinburna,кінбурна：キンブルン（地名・属格）
kinburnskyy,кінбурнський：キンブルンスキー（地名）
kinhz,кінгз：キングス
kinhs,кінгс：キングス
kinhisepp,кінгісепп：キンギセップ
kinder,кіндер：キンダー
kindery,кіндери：キンダー
kindersyurpryz,кіндерсюрприз：キンダーサプライズ
kineziolohiya,кінезіологія：運動機能学
kineziterapiya,кінезітерапія：運動療法
kinemateka,кінематека：映画ライブラリー
kinematyka,кінематика：運動学
kinematohrafistka,кінематографістка：女性映画作家
kinematohrafichno,кінематографічно：映画的に
kinematohrafichnist,кінематографічність：映画的性質
kineret,кінерет：キネレット
kineta,кінета：キネタ
kinetokhor,кінетохор：動原体
kinetokhori,кінетохорі：動原体
kinechnyy,кінечний：最終的な（方言）
kinlop,кінлоп：キンロップ
kinnytsya,кінниця：騎兵 \ 騎兵隊
kinno,кінно：騎馬で
kinnohvardiyskyy,кінногвардійський：近衛騎兵の
kinnotchyk,кіннотчик：騎馬兵
kinoa,кіноа：キヌア
kinoavanhard,кіноавангард：映画アヴァンギャルド
kinoadaptatsiya,кіноадаптація：映画化
kinoakademik,кіноакадемік：映画アカデミー会員
kinoakademiya,кіноакадемія：映画アカデミー
kinoalmanakh,кіноальманах：映画アルマナック
kinoamator,кіноаматор：映画愛好家
kinoarkhiv,кіноархів：映画アーカイブ
kinoasotsiatsiya,кіноасоціація：映画協会
kinoatelye,кіноательє：映画スタジオ
kinoaudytoriya,кіноаудиторія：映画観客
kinoboyovyk,кінобойовик：アクション映画
kinobum,кінобум：映画ブーム
kinobiznes,кінобізнес：映画ビジネス
kinobiohrafiya,кінобіографія：映画伝記
kinovernisazh,кіновернісаж：映画オープニング
kinoversiya,кіноверсія：映画版
kinovechir,кіновечір：映画の夕べ
kinovydannya,кіновидання：映画版
kinovyrobnyk,кіновиробник：映画製作者
kinovyrobnychyy,кіновиробничий：映画製作の
kinovsesvit,кіновсесвіт：映画世界
kinovtilennya,кіновтілення：映画化
kinovideoprokat,кіновідеопрокат：映画ビデオレンタル
kinovideostudiya,кіновідеостудія：映画ビデオスタジオ
kinovidznaka,кіновідзнака：映画賞
kinohaluz,кіногалузь：映画産業
kinoheniy,кіногеній：映画的才能
kinoheroy,кіногерой：映画の主人公
kinoheroyinya,кіногероїня：映画のヒロイン
kinohromadskist,кіногромадськість：映画コミュニティ
kinohurman,кіногурман：映画通
kinodebyut,кінодебют：映画デビュー
kinoderzhava,кінодержава：映画大国
kinodylohiya,кінодилогія：映画二部作
kinodokument,кінодокумент：映画記録
kinodokumentalistyka,кінодокументалістика：ドキュメンタリー映画学
kinodorobok,кінодоробок：映画作品
kinodosvid,кінодосвід：映画経験
kinodoslidzhennya,кінодослідження：映画研究
kinodosyahnennya,кінодосягнення：映画の功績
kinodrama,кінодрама：映画ドラマ
kinodramaturh,кінодраматург：映画脚本家
kinodublyazh,кінодубляж：映画吹き替え
kinodiva,кінодіва：映画女優
kinodiyach,кінодіяч：映画活動家
kinoekspedytsiya,кіноекспедиція：映画遠征
kinoekspert,кіноексперт：映画評論家
kinoekspresionizm,кіноекспресіонізм：映画表現主義
kinoepopeya,кіноепопея：映画叙事詩
kinoestetyka,кіноестетика：映画美学
kinozhanr,кіножанр：映画ジャンル
kinozhyttya,кіножиття：映画生活
kinozhurnalist,кіножурналіст：映画ジャーナリスト
kinozhurnalistyka,кіножурналістика：映画ジャーナリズム
kinozala,кінозала：映画館
kinozbirka,кінозбірка：映画コレクション \ 興行収入
kinozyomka,кінозйомка：映画撮影
kinoznavstvo,кінознавство：映画学
kinoznamenytist,кінознаменитість：映画界の著名人
kinozustrich,кінозустріч：映画鑑賞会
kinoyy,кіноий：映画の（方言）
kinokazka,кіноказка：映画童話
kinokanal,кіноканал：映画チャンネル
kinokvartal,кіноквартал：映画地区
kinoklasyk,кінокласик：映画の古典
kinoklasyka,кінокласика：映画古典
kinoklub,кіноклуб：映画クラブ
kinoklubnyy,кіноклубний：映画クラブの
kinokolo,кіноколо：映画界
kinokompaniya,кінокомпанія：映画会社
kinokompleks,кінокомплекс：映画複合施設
kinokompozytor,кінокомпозитор：映画作曲家
kinokomiks,кінокомікс：映画コミック
kinokomisiya,кінокомісія：映画委員会
kinokomitet,кінокомітет：映画委員会
kinokonkurs,кіноконкурс：映画コンクール
kinokontent,кіноконтент：映画コンテンツ
kinokontsernyy,кіноконцерний：映画コンツェルンの
kinokontsert,кіноконцерт：映画コンサート
kinokopiyuvalnyy,кінокопіювальний：映画複製の
kinokopiya,кінокопія：映画コピー
kinokrayina,кінокраїна：映画の国
kinokrytyk,кінокритик：映画評論家
kinokrytyka,кінокритика：映画批評
kinokrytykynya,кінокритикиня：映画評論家（女性）
kinokrytykyniy,кінокритикиній：映画批評の
kinokrytychnyy,кінокритичний：映画批評的な
kinokultura,кінокультура：映画文化
kinolaboratoriya,кінолабораторія：映画研究所
kinolehenda,кінолегенда：映画界の伝説
kinolektoriy,кінолекторій：映画講堂
kinolektsiynyy,кінолекційний：映画講義の
kinolohichnyy,кінологічний：犬学の
kinolohiya,кінологія：犬学
kinolyubytel,кінолюбитель：映画愛好家
kinolyap,кіноляп：映画の間違い
kinolitopys,кінолітопис：映画年代記
kinom,кіном：映画
kinomahnat,кіномагнат：映画界の大物
kinomaydanchyk,кіномайданчик：映画スタジオ
kinomayster,кіномайстер：映画監督
kinoman,кіноман：映画ファン
kinomanskyy,кіноманський：映画マニアの
kinomaniya,кіноманія：映画マニア
kinomarafon,кіномарафон：映画マラソン
kinomaterial,кіноматеріал：映画素材
kinomatohraf,кіноматограф：映画撮影機
kinometr,кінометр：映画館
kinomystetskyy,кіномистецький：映画芸術の
kinomytets,кіномитець：映画芸術家
kinomova,кіномова：映画言語
kinomoda,кіномода：映画ファッション
kinomontazh,кіномонтаж：映画編集
kinomuzyka,кіномузика：映画音楽
kinomyuzykl,кіномюзикл：映画ミュージカル
kinonahoroda,кінонагорода：映画賞
kinonarys,кінонарис：映画スケッチ
kinonovela,кіноновела：映画小説
kinonovynka,кіноновинка：映画新作
kinoo,кіноо：映画
kinoobladnannya,кінообладнання：映画設備
kinoobraz,кінообраз：映画イメージ
kinoobsluhovuvannya,кінообслуговування：映画サービス
kinoohlyad,кіноогляд：映画レビュー
kinoohlyadach,кінооглядач：映画評論家
kinooperatorskyy,кінооператорський：撮影技師の
kinoopovid,кінооповідь：映画ナレーション
kinoorhanizatsiya,кіноорганізація：映画組織
kinoosvita,кіноосвіта：映画教育
kinopavilyon,кінопавільйон：映画スタジオ
kinopalats,кінопалац：映画館
kinopanorama,кінопанорама：映画パノラマ
kinoparodiya,кінопародія：映画パロディ
kinoperehlyad,кіноперегляд：映画鑑賞
kinoperehlyada,кіноперегляда：映画鑑賞
kinoperehlyady,кіноперегляди：映画鑑賞
kinopersonazh,кіноперсонаж：映画キャラクター
kinoperformans,кіноперформанс：映画パフォーマンス
kinoperformansy,кіноперформанси：映画パフォーマンス
kinoplakat,кіноплакат：映画ポスター
kinopodorozh,кіноподорож：映画の旅
kinopodiya,кіноподія：映画イベント
kinopokaz,кінопоказ：映画上映
kinopolotno,кінополотно：映画スクリーン
kinoportal,кінопортал：映画ポータル
kinoportret,кінопортрет：映画肖像
kinopostanovka,кінопостановка：映画演出
kinopratsivnyk,кінопрацівник：映画労働者
kinopremiya,кінопремія：映画賞
kinopresa,кінопреса：映画プレス
kinopryz,кіноприз：映画賞
kinoproba,кінопроба：スクリーンテスト
kinoprohrama,кінопрограма：映画プログラム
kinoprodukt,кінопродукт：映画作品
kinoproduktsiya,кінопродукція：映画製作
kinoprodyuser,кінопродюсер：映画プロデューサー
kinoprodyuserka,кінопродюсерка：映画プロデューサー（女性）
kinoproekt,кінопроект：映画プロジェクト
kinoproektsiynyy,кінопроекційний：映画投影の
kinoprokatnyy,кінопрокатний：映画配給の
kinoprokatnyk,кінопрокатник：映画配給業者
kinopromyslovist,кінопромисловість：映画産業
kinopropahanda,кінопропаганда：映画宣伝
kinoprostir,кінопростір：映画空間
kinoprofesional,кінопрофесіонал：映画専門家
kinoprotses,кінопроцес：映画制作過程
kinoproyekt,кінопроєкт：映画プロジェクト
kinoproyekta,кінопроєкта：映画プロジェクト
kinoproyekty,кінопроєкти：映画プロジェクト
kinoproyektor,кінопроєктор：映写機
kinoproyektory,кінопроєктори：映写機
kinoproyektity,кінопроєктіти：映画を上映する
kinopidpryyemstvo,кінопідприємство：映画企業
kinorezhyserka,кінорежисерка：女性映画監督
kinorezhyserskyy,кінорежисерський：映画監督の
kinorezhysura,кінорежисура：映画監督業
kinoreklama,кінореклама：映画広告
kinorepertuar,кінорепертуар：映画レパートリー
kinorynok,кіноринок：映画市場
kinorobota,кіноробота：映画制作
kinorozpovid,кінорозповідь：映画物語
kinorolyk,кіноролик：映画クリップ
kinorol,кінороль：映画界の王
kinoroman,кінороман：映画小説
kinorukh,кінорух：映画運動
kinorik,кінорік：映画年
kinosaha,кіносага：映画サーガ
kinosayt,кіносайт：映画サイト
kinosvyato,кіносвято：映画祭
kinosvit,кіносвіт：映画界
kinosezon,кіносезон：映画シーズン
kinoseredovyshche,кіносередовище：映画環境
kinoserial,кіносеріал：テレビシリーズ
kinoseriya,кіносерія：映画シリーズ
kinosystema,кіносистема：映画システム
kinoslava,кінослава：映画の栄光
kinoslovnyk,кінословник：映画辞典
kinospadshchyna,кіноспадщина：映画遺産
kinospivtovarystvo,кіноспівтовариство：映画コミュニティ
kinospilka,кіноспілка：映画組合
kinospilnota,кіноспільнота：映画界
kinostolytsya,кіностолиця：映画の都
kinostruktura,кіноструктура：映画構造
kinosfera,кіносфера：映画界
kinosyuzhet,кіносюжет：映画のあらすじ
kinotvorets,кінотворець：映画製作者
kinotvorchist,кінотворчість：映画制作
kinotvir,кінотвір：映画作品
kinoteatralnyy,кінотеатральний：映画演劇の
kinotekst,кінотекст：映画テキスト
kinotekstity,кінотекстіти：映画テキスト（誤字）
kinotekhnolohiya,кінотехнологія：映画技術
kinotekhnika,кінотехніка：映画技術
kinotekhnikum,кінотехнікум：映画専門学校
kinotyzhden,кінотиждень：映画週間
kinotradytsiya,кінотрадиція：映画の伝統
kinotrylohiya,кінотрилогія：映画三部作
kinotur,кінотур：映画ツアー
kinotusovka,кінотусовка：映画界
kinofakultet,кінофакультет：映画学部
kinofantastyka,кінофантастика：SF映画
kinofakhivets,кінофахівець：映画専門家
kinofest,кінофест：映画祭
kinofestyvalnyy,кінофестивальний：映画祭の
kinofestival,кінофестіваль：映画祭
kinofond,кінофонд：映画基金
kinoforum,кінофорум：映画フォーラム
kinofotofonoarkhiv,кінофотофоноархів：映画写真音響アーカイブ
kinofotofonodokument,кінофотофонодокумент：映画写真音響文書
kinofranshyz,кінофраншиз：映画フランチャイズ
kinofranshyza,кінофраншиза：映画フランチャイズ
kinofundatsiya,кінофундація：映画基金
kinofirma,кінофірма：映画会社
kinokhudozhnyk,кінохудожник：映画美術家
kinokhit,кінохіт：映画ヒット作
kinotsentr,кіноцентр：映画センター
kinotsytata,кіноцитата：映画の引用
kinoshedevr,кіношедевр：映画傑作
kinoshka,кіношка：映画館（愛称）
kinoshkola,кіношкола：映画学校
kinoshnyy,кіношний：映画の
kinoshnyk,кіношник：映画関係者
kinoshok,кіношок：映画ショック
kinoshot,кіношот：映画ショット
kinoindustriya,кіноіндустрія：映画産業
kinoinzhener,кіноінженер：映画技師
kinoinstytut,кіноінститут：映画学院
kinoistoriya,кіноісторія：映画史
kinros,кінрос：キンロス
kinrosa,кінроса：キンロス
kinto,кінто：キント
kinchak,кінчак：先端
kinchastyy,кінчастий：尖った
kings,кінґс：キングス
kiodo,кіодо：キオド
kiokak,кіокак：キオカク
kiokushynkay,кіокушинкай：極真空手
kiokushyno,кіокушино：極真
kiotskyy,кіотський：京都の
kipa,кіпа：キッパ \ キッパー
kipermanom,кіперманом：キペルマン（人名・造格）
kipets,"кіпець：沸騰,大騒ぎ"
kipyy,кіпий：沸騰した
kipriotka,кіпріотка：キプロス人女性
kipriotskyy,кіпріотський：キプロスの
kipu,кіпу：キープ \ 束
kipukamayoky,кіпукамайоки：キープカマヨク
kiptse,кіпце：キプツェ
kipish,"кіпіш：騒ぎ \ 騒ぎ,もめ事"
kipisha,кіпіша：騒ぎ
kipishe,кіпіше：さらに激しく（綴り誤り）
kipishuvaty,кіпішувати：大騒ぎする
kiralnyy,кіральний：キラルの
kiran,кіран：キラン
kirasyrskyy,кірасирський：胸甲騎兵の
kirat,кірат：キラット
kirbi,кірбі：カービー
kirets,кірець：キレツ
kirkenes,кіркенес：キルケネス
kirkovyy,кірковий：教会の
kirkuk,кіркук：キルクーク
kirkuka,кіркука：キルクーク
kirkut,кіркут：キルクト（固有名詞）
kirovets,кіровець：キロヴェツ（地名の住民）
kirovlyes,кіровлєс：キロヴレス
kirovlis,кіровліс：キロフレス
kirovlisu,кіровлісу：キーロフレス（企業名）
kirovo,кірово：キーロヴォ
kirovohradhaz,кіровоградгаз：キロヴォグラードガス
kirovohradets,кіровоградець：キロヴォフラド市民
kirovohradka,кіровоградка：キロヴォグラード女性
kirovohradteplo,кіровоградтепло：キロヴォグラド熱供給
kirtan,кіртан：キルタン
kirtoake,кіртоаке：キルトアケ
kirundi,кірунді：キルンディ語
kirkhberh,кірхберг：キルヒベルク
kirkhhofa,кірхгофа：キルヒホッフの
